year,coo_id,coo_name,coo,coo_iso,coa_id,coa_name,coa,coa_iso,refugees,asylum_seekers,returned_refugees,idps,returned_idps,stateless,ooc,oip,hst
1990,-,-,-,-,-,-,-,-,17395914,0,139120,0,0,0,0,-,0
1991,-,-,-,-,-,-,-,-,16854762,0,2184724,0,0,0,0,-,0
1992,-,-,-,-,-,-,-,-,17838020,0,2243039,0,0,0,0,-,0
1993,-,-,-,-,-,-,-,-,16325299,743601,861034,4198400,0,0,0,-,0
1994,-,-,-,-,-,-,-,-,15753494,644640,3036966,5322990,0,0,0,-,0
1995,-,-,-,-,-,-,-,-,14895916,986458,1173670,4286690,0,0,0,-,0
1996,-,-,-,-,-,-,-,-,13356861,977087,2076538,4853712,0,0,0,-,0
1997,-,-,-,-,-,-,-,-,12014967,1028200,926564,4573112,100282,0,1404100,-,0
1998,-,-,-,-,-,-,-,-,11480438,977800,1016319,5063880,207242,0,1378527,-,0
1999,-,-,-,-,-,-,-,-,11686760,1027400,1599105,3968648,1048387,0,1491142,-,0
2000,-,-,-,-,-,-,-,-,12129079,947322,767383,5998501,369055,0,1653841,-,0
2001,-,-,-,-,-,-,-,-,12116301,943383,462396,5096502,240950,0,1039510,-,0
2002,-,-,-,-,-,-,-,-,10593526,1093121,2426009,4646641,1179038,0,953319,-,0
2003,-,-,-,-,-,-,-,-,9592247,995567,1094889,4181701,237798,0,905344,-,0
2004,-,-,-,-,-,-,-,-,9572719,884285,1434190,5426539,146516,1455861,597042,-,0
2005,-,-,-,-,-,-,-,-,8661293,801119,1105477,6616791,519430,2383651,960359,-,0
2006,-,-,-,-,-,-,-,-,9876879,740253,733557,12794268,1864171,5805941,1045409,-,0
2007,-,-,-,-,-,-,-,-,11390082,739958,730573,13740317,2070118,2938538,68615,-,0
2008,-,-,-,-,-,-,-,-,10488915,823931,603884,14442227,1361436,6573465,166860,-,0
2009,-,-,-,-,-,-,-,-,10395713,988030,251413,15628057,2229540,6559572,411691,-,0
2010,-,-,-,-,-,-,-,-,10548835,835969,197579,14697804,2923233,3463073,1255578,-,0
2011,-,-,-,-,-,-,-,-,10403937,895691,531868,15473378,3245804,3477100,1411844,-,0
2012,-,-,-,-,-,-,-,-,10497017,941497,525902,17670368,1545486,3335772,1329600,-,0
2013,-,-,-,-,-,-,-,-,11698233,1162934,385651,23925555,1356182,3469268,836073,-,0
2014,-,-,-,-,-,-,-,-,14384289,1794704,126767,32274619,1822591,3492255,1052746,-,0
2015,-,-,-,-,-,-,-,-,16110276,3223460,201387,37494172,2317314,3687759,870688,-,0
2016,-,-,-,-,-,-,-,-,17184286,2729521,552219,36627127,6511144,3242206,803084,-,0
2017,-,-,-,-,-,-,-,-,19940566,3089507,384887,39118516,4228971,3853982,1596125,-,0
2018,-,-,-,-,-,-,-,-,20359553,3501629,519321,41425168,2312926,3851981,1182756,2592947,0
2019,-,-,-,-,-,-,-,-,20414669,4148141,317181,43503362,5343793,4217774,3857179,3582202,2304506
2020,-,-,-,-,-,-,-,-,20661846,4184926,250951,48557439,3184118,4179331,3939756,3862102,4369021
2021,-,-,-,-,-,-,-,-,21327285,4616135,429234,51322623,5265622,4338192,4223095,4406432,6731133
2022,-,-,-,-,-,-,-,-,29429078,5442312,999261,57321197,8324166,4428314,6008804,5217456,23957770
2023,-,-,-,-,-,-,-,-,31637408,6858500,1126551,63251367,5092064,4358195,5945550,5755363,26095474
2024,-,-,-,-,-,-,-,-,30958200,8352712,1615821,68131711,8219597,4360087,3820662,5875359,27279257
