Year,refugees,asylum_seekers,idps,stateless,total_displaced_millions,disaster_displacements_millions,climate_displaced_millions
2003,9592247,995567,4181701,0,14.769515,17.5,10.85
2004,9572719,884285,5426539,1455861,15.883543,22.8,16.416
2005,8661293,801119,6616791,2383651,16.079203,30.2,23.556
2006,9876879,740253,12794268,5805941,23.4114,24.5,15.925
2007,11390082,739958,13740317,2938538,25.870357,28.1,21.075000000000003
2008,10488915,823931,14442227,6573465,25.755073,42.3,37.224
2009,10395713,988030,15628057,6559572,27.0118,14.8,8.288000000000002
2010,10548835,835969,14697804,3463073,26.082608,19.2,13.056000000000001
2011,10403937,895691,15473378,3477100,26.773006,32.4,26.567999999999998
2012,10497017,941497,17670368,3335772,29.108882,26.8,20.368000000000002
2013,11698233,1162934,23925555,3469268,36.786722,19.2,13.824
2014,14384289,1794704,32274619,3492255,48.453612,24.2,17.907999999999998
2015,16110276,3223460,37494172,3687759,56.827908,30.7,24.560000000000002
2016,17184286,2729521,36627127,3242206,56.540934,31.1,24.569000000000003
2017,19940566,3089507,39118516,3853982,62.148589,24.5,17.64
2018,20359553,3501629,41425168,3851981,65.28635,30.7,23.946
2019,20414669,4148141,43503362,4217774,68.066172,27.3,20.748
2020,20661846,4184926,48557439,4179331,73.404211,38.0,31.159999999999997
2021,21327285,4616135,51322623,4338192,77.266043,31.7,24.726
2022,29429078,5442312,57321197,4428314,92.192587,55.0,48.4
2023,31637408,6858500,63251367,4358195,101.747275,43.1,36.635
2024,30958200,8352712,68131711,4360087,107.442623,26.4,20.855999999999998
